2025-03-09 22:38:24,396 Epochs: [155/300]; Train loss: 0.088141; Valid loss: 0.065361; mapping: 0.000000; lr: 0.000001 

2025-03-09 22:43:30,913 Epochs: [156/300]; Train loss: 0.088002; Valid loss: 0.065470; mapping: 0.000000; lr: 0.000001 

2025-03-09 22:48:34,472 Epochs: [157/300]; Train loss: 0.087886; Valid loss: 0.066698; mapping: 0.000000; lr: 0.000001 

2025-03-09 22:53:38,964 Epochs: [158/300]; Train loss: 0.086366; Valid loss: 0.065431; mapping: 0.000000; lr: 0.000001 

2025-03-09 22:58:43,681 Epochs: [159/300]; Train loss: 0.087435; Valid loss: 0.065009; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:03:50,927 Epochs: [160/300]; Train loss: 0.087147; Valid loss: 0.066060; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:08:55,349 Epochs: [161/300]; Train loss: 0.087191; Valid loss: 0.065618; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:13:58,771 Epochs: [162/300]; Train loss: 0.088261; Valid loss: 0.066559; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:19:16,414 Epochs: [163/300]; Train loss: 0.088595; Valid loss: 0.064138; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:24:20,777 Epochs: [164/300]; Train loss: 0.087422; Valid loss: 0.066701; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:29:24,850 Epochs: [165/300]; Train loss: 0.086843; Valid loss: 0.064574; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:34:33,357 Epochs: [166/300]; Train loss: 0.087466; Valid loss: 0.065840; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:39:34,162 Epochs: [167/300]; Train loss: 0.087028; Valid loss: 0.066397; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:44:44,215 Epochs: [168/300]; Train loss: 0.087332; Valid loss: 0.064837; mapping: 0.000000; lr: 0.000001 

2025-03-09 23:49:53,845 Epochs: [169/300]; Train loss: 0.087872; Valid loss: 0.065599; mapping: 0.000000; lr: 0.000001 

